"indicator","base-per","Unit","Date","Value"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M7","103.549382867315"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M8","105.845538398077"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M9","105.881297969173"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M10","99.5490848663369"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M11","99.5451242808297"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M12","99.9064952234447"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M1","97.3229253933979"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M2","97.4461778425785"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M3","97.5110429170756"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M4","101.778235921041"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M5","102.384372468612"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M6","102.599039006245"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M7","103.480558203751"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M8","103.389522643316"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M9","103.157655568109"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M10","101.052414764897"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M11","103.369117101654"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2016M12","103.588983868555"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M1","101.836269292395"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M2","99.6690553127979"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M3","100.219937410256"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M4","103.204801940904"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M5","106.155820432763"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M6","107.506687562588"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M7","107.964903630559"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M8","107.768221712525"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M9","109.372390236879"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M10","109.570003401469"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M11","110.396381689949"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2017M12","110.31579899999"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M1","108.671359321686"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M2","110.7955729092"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M3","110.93969635109"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M4","114.017775208826"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M5","116.78989251866"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M6","115.510418497205"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M7","114.416499071313"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M8","114.738581373662"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M9","115.357911356459"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M10","115.850754896854"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M11","116.826890622223"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2018M12","116.88806189645"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M1","113.620376337622"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M2","112.647468528715"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M3","112.038669570683"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M4","120.418539610818"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M5","125.147530966666"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M6","127.709071554522"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M7","125.595513959975"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M8","123.035007756978"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M9","124.72921167744"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M10","124.704076829407"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M11","124.548641763309"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2019M12","121.327368089212"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M1","118.064066056091"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M2","119.831980999238"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M3","124.188566678938"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M4","130.170538172141"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M5","132.027722342091"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M6","130.024153974764"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M7","123.412608924353"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M8","120.319818488639"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M9","120.852781764947"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M10","120.224628335219"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M11","121.512490604303"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2020M12","122.830546677354"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M1","119.46"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M2","119.85"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M3","123.81"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M4","127.68"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M5","129.42"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M6","127.51"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M7","129.24"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M8","127.43"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M9","128.16"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M10","128.762353495065"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M11","130.526320086076"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2021M12","131.907819200773"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2022M1","133.354382316281"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2022M2","135.008162958146"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2022M3","138.631306842763"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2022M4","142.899439558516"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2022M5","148.49"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2022M6","149.01"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2022M7","151.9"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2022M8","148.7"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2014M12","100"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M1","91.0476449666533"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M2","91.0476449666533"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M3","94.1657252233222"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M4","94.1657252233222"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M5","98.1746855533251"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M6","98.1746855533251"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M7","100.068924047005"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M8","100.068924047005"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M9","100.068924047005"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M10","98.7096609324634"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M11","98.1746855533251"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2015M12","98.7537576009922"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M1","104.724443432882"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M2","97.5974028462099"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M3","104.724443432882"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M4","107.161697218658"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M5","107.161697218658"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M6","107.175105153272"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M7","107.175105153272"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M8","103.611584859936"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M9","102.898880801269"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M10","103.147092938703"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M11","103.359964762995"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2016M12","103.147092938703"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M1","104.188126048329"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M2","102.406365901661"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M3","104.188126048329"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M4","102.406365901661"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M5","102.406365901661"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M6","111.315166635001"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M7","111.315166635001"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M8","120.175960342969"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M9","130.568665537578"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M10","130.568665537578"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M11","131.552393464696"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2017M12","130.568665537578"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M1","130.466101435014"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M2","135.811381875018"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M3","121.557300701674"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M4","110.699782019616"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M5","114.878686928337"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M6","110.084397404232"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M7","115.429677844236"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M8","115.429677844236"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M9","122.890634035007"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M10","127.062202178055"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M11","125.814970075387"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2018M12","124.389561958053"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M1","127.684923559112"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M2","138.019132409786"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M3","141.939004732456"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M4","143.720764879124"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M5","143.720764879124"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M6","139.272338065789"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M7","138.737951387378"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M8","144.617618505793"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M9","146.95036956836"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M10","142.156080044255"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M11","142.156080044255"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2019M12","142.156080044255"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M1","136.810799604251"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M2","137.078958296527"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M3","137.078958296527"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M4","137.078958296527"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M5","137.078958296527"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M6","137.078958296527"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M7","137.078958296527"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M8","137.347116988803"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M9","137.347116988803"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M10","137.347116988803"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M11","137.347116988803"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2020M12","125.606054999085"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M1","125.61"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M2","128.44"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M3","128.44"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M4","128.44"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M5","128.44"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M6","128.44"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M7","128.44"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M8","113.1"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M9","110.62"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M10","108.838954642116"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M11","108.838954642116"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2021M12","99.8348032095114"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2022M1","90.9260024761717"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2022M2","86.4716021095019"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2022M3","86.4716021095019"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2022M4","86.4716021095019"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2022M5","82.02"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2022M6","82.02"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2022M7","82.02"
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS","2014M12","Index","2022M8","90.93"
"CLOTHING AND FOOTWEAR","2014M12","Index","2014M12","100"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M1","100.261234027035"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M2","99.8516814094034"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M3","100.003043197582"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M4","100.003043197582"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M5","100.03384118298"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M6","100.03384118298"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M7","102.184017346537"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M8","102.725114916271"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M9","102.727311625348"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M10","100.264069402234"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M11","99.9508259401169"
"CLOTHING AND FOOTWEAR","2014M12","Index","2015M12","100.040268186787"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M1","98.8580407782201"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M2","99.6956031625894"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M3","98.8074519119246"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M4","99.4304205202499"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M5","99.1747632591452"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M6","99.6148369588034"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M7","99.6148369588034"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M8","99.6148369588034"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M9","99.6148369588034"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M10","100.765596621022"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M11","100.097413629065"
"CLOTHING AND FOOTWEAR","2014M12","Index","2016M12","100.765596621022"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M1","99.9482346993784"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M2","99.7164247742374"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M3","100.381738729331"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M4","102.803741301411"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M5","102.925608931619"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M6","103.44463701742"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M7","101.497630193845"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M8","99.957433369085"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M9","100.520578383417"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M10","100.665038774984"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M11","100.600742449767"
"CLOTHING AND FOOTWEAR","2014M12","Index","2017M12","100.569205554726"
"CLOTHING AND FOOTWEAR","2014M12","Index","2018M1","100.155626122036"
"CLOTHING AND FOOTWEAR","2014M12","Index","2018M2","100.155626122036"
"CLOTHING AND FOOTWEAR","2014M12","Index","2018M3","100.16787904145"
"CLOTHING AND FOOTWEAR","2014M12","Index","2018M4","100.025467049467"
"CLOTHING AND FOOTWEAR","2014M12","Index","2018M5","103.062163333859"
"CLOTHING AND FOOTWEAR","2014M12","Index","2018M6","109.908535219302"
